REMOVE_RANDOM_ECO_REFORMS_EFFECT; 경제개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes ?onomiques.\n;쬟$VAL$? ?onomische Reformen entfernen.\n;;;;;;;;;;;x
REMOVE_RANDOM_MIL_REFORMS_EFFECT; 군사개혁(쬟$VAL$?)을 철회합니다.\n;Suppression de 쬟$VAL$? r?ormes militaires.\n;쬟$VAL$? milit?ische Reformen entfernen.\n;;;;;;;;;;;x
party_loyalty_focus;애당심;;;;;;;;;;;;x
fascist_focus;쬨파쇼주의쬦 애당심 ;Loyaut?envers le parti 쬨fasciste? ;Parteiloyalit? gegen?er 쬨fascist? ;;;;;;;;;;;x
reactionary_focus;쬨반동주의쬦 애당심 ;Loyaut?envers le parti 쬨r?ctionnaire? ;Parteiloyalit? gegen?er 쬨reactionary? ;;;;;;;;;;;x
conservative_focus;쬨보수주의쬦 애당심 ;Loyaut?envers le parti 쬨conservateur? ;Parteiloyalit? gegen?er 쬨conservative? ;;;;;;;;;;;x
socialist_focus;쬨사회주의쬦 애당심 ;Loyaut?envers le parti 쬨socialiste? ;Parteiloyalit? gegen?er 쬨socialist? ;;;;;;;;;;;x
communist_focus;쬨공산주의쬦 애당심 ;Loyaut?envers le parti 쬨communiste? ;Parteiloyalit? gegen?er 쬨communist? ;;;;;;;;;;;x
liberal_focus;쬨자유주의쬦 애당심 ;Loyaut?envers le parti 쬨lib?al? ;Parteiloyalit? gegen?er 쬨liberal? ;;;;;;;;;;;x
anarcho_liberal_focus;쬨아나르코자본주의쬦 애당심 ;Loyaut?envers le parti 쬨libertaire? ;Parteiloyalit? gegen?er 쬨anarcho-liberal? ;;;;;;;;;;;x
movement_party_appointed;참정권 확대 운동;;;;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME_USA_CSA_CSA;$ORDER$ 양키의 침공;;;;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME_USA_CSA_USA;$ORDER$ 딕시의 반란;;;;;;;;;;;;x
NORMAL_WAR_GUNBOAT_NAME;$ORDER$$FIRST_COUNTRY$의 $SECOND_COUNTRY$ 개입;$ORDER$$FIRST_COUNTRY$ intervention in $SECOND_COUNTRY$;;;;;;;;;;;;x
NORMAL_WAR_GUNBOAT_NAME_FRA_MEX;$ORDER$페이스트리 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_USA_MEX_USA;$ORDER$미국-멕시코 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_USA_MEX_MEX;$ORDER$멕시코-미국 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_USA;$ORDER$미국-멕시코 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME_USA_MEX_MEX;$ORDER$멕시코-미국;;;;;;;;;;;;x
NORMAL_WAR_GUNBOAT_NAME_ENG_CHI;$ORDER$아편 전쟁;;;;;;;;;;;;x
NORMAL_WAR_ADD_SPHERE_NAME_ENG_CHI;$ORDER$아편 전쟁;;;;;;;;;;;;x
NORMAL_WAR_INDEPENDENCE_NAME;$ORDER$$FIRST_COUNTRY$ 독립전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_CHL_PEU;$ORDER$태평양 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME_CHL_PEU;$ORDER$태평양 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_CHL_BOL;$ORDER$태평양 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME_CHL_BOL;$ORDER$태평양 전쟁;;;;;;;;;;;;x
NORMAL_WAR_CONQUEST_NAME_ENG_TRN;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_CONQUEST_NAME_ENG_ORA;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_ENG_TRN;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_ENG_ORA;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_ORA_ENG;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_TRN_ENG;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_PUPPET_NAME_ENG_TRN;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_PUPPET_NAME_ENG_ORA;$ORDER$보어 전쟁;;;;;;;;;;;;x
NORMAL_WAR_PUPPET_NAME;$ORDER$$FIRST_COUNTRY$-$SECOND_COUNTRY$ 괴뢰화 전쟁;War of $FIRST_COUNTRY$ Control Over $SECOND_COUNTRY$;;;;;;;;;;;;x
NORMAL_WAR_BOXER_NAME;$ORDER$의화단의 난;$ORDER$Boxer Rebellion;;;;;;;;;;;;x
NORMAL_WAR_PUPPET_NAME_ENG_USA;$ORDER$$SECOND$ 영미전쟁;;;;;;;;;;;;x
NORMAL_WAR_NAME_ENG_USA;$ORDER$$SECOND_COUNTRY$ 영미전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME_ENG_USA;$ORDER$$SECOND_COUNTRY$ 영미전쟁;;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME_ENG_USA;$ORDER$$SECOND_COUNTRY$ 영미전쟁;;;;;;;;;;;;x
